timestamp,container,cpu_perc,mem_usage,net_io,block_io,pg_connections,redis_clients
2026-09-05T12:36:45.193701+00:00,gracious_bhaskara,0.00%,38.5MiB / 3.825GiB,1.82kB / 126B,24.2MB / 0B,8,2
2026-09-05T12:36:45.193701+00:00,dnk_frontend,0.02%,130.9MiB / 3.825GiB,2.33kB / 126B,106MB / 0B,8,2
2026-09-05T12:36:45.193701+00:00,dnk_backend,0.29%,311.1MiB / 3.825GiB,3.44MB / 4.66MB,157MB / 242kB,8,2
2026-09-05T12:36:45.193701+00:00,dnk_redis,3.04%,39.67MiB / 3.825GiB,1.14MB / 709kB,31.2MB / 0B,8,2
2026-09-05T12:36:45.193701+00:00,dnk_postgres,3.98%,64.52MiB / 3.825GiB,1.73MB / 1.45MB,40.5MB / 39.7MB,8,2
2026-09-05T12:36:45.193701+00:00,dnk_pgvector,3.62%,45.7MiB / 3.825GiB,2.24kB / 126B,28.2MB / 307kB,8,2
2026-09-05T12:36:44.918580+00:00,cranky_kowalevski,0.00%,16.02MiB / 3.825GiB,872B / 126B,0B / 0B,8,2
2026-09-05T12:36:44.918580+00:00,gracious_bhaskara,0.00%,38.5MiB / 3.825GiB,1.82kB / 126B,24.2MB / 0B,8,2
2026-09-05T12:36:44.918580+00:00,dnk_frontend,0.02%,130.9MiB / 3.825GiB,2.33kB / 126B,106MB / 0B,8,2
2026-09-05T12:36:44.918580+00:00,dnk_backend,0.29%,311.1MiB / 3.825GiB,3.44MB / 4.66MB,157MB / 242kB,8,2
2026-09-05T12:36:44.918580+00:00,dnk_redis,1.90%,39.88MiB / 3.825GiB,1.14MB / 709kB,31.2MB / 0B,8,2
2026-09-05T12:36:44.918580+00:00,dnk_postgres,3.98%,64.52MiB / 3.825GiB,1.73MB / 1.45MB,40.5MB / 39.7MB,8,2
2026-09-05T12:36:44.918580+00:00,dnk_pgvector,3.62%,45.7MiB / 3.825GiB,2.24kB / 126B,28.2MB / 307kB,8,2
2026-09-05T12:36:52.209775+00:00,cranky_kowalevski,0.00%,16.02MiB / 3.825GiB,872B / 126B,0B / 0B,8,2
2026-09-05T12:36:52.209775+00:00,gracious_bhaskara,0.00%,38.5MiB / 3.825GiB,1.82kB / 126B,24.2MB / 0B,8,2
2026-09-05T12:36:52.209775+00:00,dnk_frontend,0.00%,130.9MiB / 3.825GiB,2.33kB / 126B,106MB / 0B,8,2
2026-09-05T12:36:52.209775+00:00,dnk_backend,0.25%,310.5MiB / 3.825GiB,3.44MB / 4.66MB,157MB / 242kB,8,2
2026-09-05T12:36:52.209775+00:00,dnk_redis,0.91%,39.4MiB / 3.825GiB,1.14MB / 709kB,31.2MB / 0B,8,2
2026-09-05T12:36:52.209775+00:00,dnk_postgres,0.00%,64.29MiB / 3.825GiB,1.73MB / 1.45MB,40.5MB / 39.7MB,8,2
2026-09-05T12:36:52.209775+00:00,dnk_pgvector,0.01%,45.66MiB / 3.825GiB,2.24kB / 126B,28.2MB / 307kB,8,2
2026-09-05T12:36:59.410456+00:00,cranky_kowalevski,0.00%,16.02MiB / 3.825GiB,872B / 126B,0B / 0B,8,2
2026-09-05T12:36:59.410456+00:00,gracious_bhaskara,0.00%,38.5MiB / 3.825GiB,1.82kB / 126B,24.2MB / 0B,8,2
2026-09-05T12:36:59.410456+00:00,dnk_frontend,3.73%,131MiB / 3.825GiB,2.33kB / 126B,106MB / 0B,8,2
2026-09-05T12:36:59.410456+00:00,dnk_backend,0.37%,310.5MiB / 3.825GiB,3.44MB / 4.66MB,157MB / 242kB,8,2
2026-09-05T12:36:59.410456+00:00,dnk_redis,1.09%,39.3MiB / 3.825GiB,1.14MB / 709kB,31.2MB / 0B,8,2
2026-09-05T12:36:59.410456+00:00,dnk_postgres,0.00%,64.33MiB / 3.825GiB,1.73MB / 1.45MB,40.5MB / 39.7MB,8,2
2026-09-05T12:36:59.410456+00:00,dnk_pgvector,0.00%,45.53MiB / 3.825GiB,2.24kB / 126B,28.2MB / 307kB,8,2
2026-09-05T12:37:06.642777+00:00,cranky_kowalevski,0.00%,16.02MiB / 3.825GiB,872B / 126B,0B / 0B,8,2
2026-09-05T12:37:06.642777+00:00,gracious_bhaskara,0.00%,38.5MiB / 3.825GiB,1.82kB / 126B,24.2MB / 0B,8,2
2026-09-05T12:37:06.642777+00:00,dnk_frontend,0.00%,130.9MiB / 3.825GiB,2.33kB / 126B,106MB / 0B,8,2
2026-09-05T12:37:06.642777+00:00,dnk_backend,0.27%,310.4MiB / 3.825GiB,3.44MB / 4.66MB,157MB / 242kB,8,2
2026-09-05T12:37:06.642777+00:00,dnk_redis,1.26%,39.3MiB / 3.825GiB,1.14MB / 709kB,31.2MB / 0B,8,2
2026-09-05T12:37:06.642777+00:00,dnk_postgres,0.00%,64.47MiB / 3.825GiB,1.73MB / 1.45MB,40.5MB / 39.7MB,8,2
2026-09-05T12:37:06.642777+00:00,dnk_pgvector,0.01%,45.78MiB / 3.825GiB,2.24kB / 126B,28.2MB / 307kB,8,2
2026-09-05T12:37:13.897499+00:00,cranky_kowalevski,0.00%,16.02MiB / 3.825GiB,872B / 126B,0B / 0B,8,2
2026-09-05T12:37:13.897499+00:00,gracious_bhaskara,0.00%,38.5MiB / 3.825GiB,1.82kB / 126B,24.2MB / 0B,8,2
2026-09-05T12:37:13.897499+00:00,dnk_frontend,0.00%,130.9MiB / 3.825GiB,2.33kB / 126B,106MB / 0B,8,2
2026-09-05T12:37:13.897499+00:00,dnk_backend,0.31%,310.4MiB / 3.825GiB,3.44MB / 4.66MB,157MB / 242kB,8,2
2026-09-05T12:37:13.897499+00:00,dnk_redis,0.87%,39.55MiB / 3.825GiB,1.14MB / 709kB,31.2MB / 0B,8,2
2026-09-05T12:37:13.897499+00:00,dnk_postgres,0.00%,64.31MiB / 3.825GiB,1.73MB / 1.45MB,40.5MB / 39.7MB,8,2
2026-09-05T12:37:13.897499+00:00,dnk_pgvector,0.00%,46.07MiB / 3.825GiB,2.24kB / 126B,28.2MB / 307kB,8,2
2026-09-05T12:37:17.142046+00:00,cranky_kowalevski,0.00%,16.02MiB / 3.825GiB,872B / 126B,0B / 0B,8,2
2026-09-05T12:37:17.142046+00:00,gracious_bhaskara,0.00%,38.5MiB / 3.825GiB,1.82kB / 126B,24.2MB / 0B,8,2
2026-09-05T12:37:17.142046+00:00,dnk_frontend,0.00%,130.9MiB / 3.825GiB,2.33kB / 126B,106MB / 0B,8,2
2026-09-05T12:37:17.142046+00:00,dnk_backend,0.33%,311.2MiB / 3.825GiB,3.47MB / 4.69MB,157MB / 242kB,8,2
2026-09-05T12:37:17.142046+00:00,dnk_redis,1.21%,39.39MiB / 3.825GiB,1.14MB / 709kB,31.2MB / 0B,8,2
2026-09-05T12:37:17.142046+00:00,dnk_postgres,0.00%,64.35MiB / 3.825GiB,1.73MB / 1.45MB,40.5MB / 39.7MB,8,2
2026-09-05T12:37:17.142046+00:00,dnk_pgvector,0.00%,45.66MiB / 3.825GiB,2.24kB / 126B,28.2MB / 307kB,8,2
2026-09-05T12:37:21.170209+00:00,cranky_kowalevski,0.00%,16.02MiB / 3.825GiB,872B / 126B,0B / 0B,8,2
2026-09-05T12:37:21.170209+00:00,gracious_bhaskara,0.00%,38.5MiB / 3.825GiB,1.82kB / 126B,24.2MB / 0B,8,2
2026-09-05T12:37:21.170209+00:00,dnk_frontend,0.00%,131.6MiB / 3.825GiB,2.33kB / 126B,106MB / 0B,8,2
2026-09-05T12:37:21.170209+00:00,dnk_backend,0.24%,310.4MiB / 3.825GiB,3.61MB / 4.82MB,157MB / 242kB,8,2
2026-09-05T12:37:21.170209+00:00,dnk_redis,1.21%,39.57MiB / 3.825GiB,1.14MB / 709kB,31.2MB / 0B,8,2
2026-09-05T12:37:21.170209+00:00,dnk_postgres,4.92%,64.41MiB / 3.825GiB,1.73MB / 1.45MB,40.5MB / 39.7MB,8,2
2026-09-05T12:37:21.170209+00:00,dnk_pgvector,5.39%,45.93MiB / 3.825GiB,2.24kB / 126B,28.2MB / 307kB,8,2
2026-09-05T12:37:24.361569+00:00,cranky_kowalevski,0.00%,16.02MiB / 3.825GiB,872B / 126B,0B / 0B,8,2
2026-09-05T12:37:24.361569+00:00,gracious_bhaskara,0.00%,38.5MiB / 3.825GiB,1.82kB / 126B,24.2MB / 0B,8,2
2026-09-05T12:37:24.361569+00:00,dnk_frontend,0.00%,131.6MiB / 3.825GiB,2.33kB / 126B,106MB / 0B,8,2
2026-09-05T12:37:24.361569+00:00,dnk_backend,0.39%,311.1MiB / 3.825GiB,3.8MB / 5MB,157MB / 242kB,8,2
2026-09-05T12:37:24.361569+00:00,dnk_redis,1.00%,39.51MiB / 3.825GiB,1.14MB / 709kB,31.2MB / 0B,8,2
2026-09-05T12:37:24.361569+00:00,dnk_postgres,0.00%,64.57MiB / 3.825GiB,1.73MB / 1.45MB,40.5MB / 39.7MB,8,2
2026-09-05T12:37:24.361569+00:00,dnk_pgvector,0.00%,45.85MiB / 3.825GiB,2.24kB / 126B,28.2MB / 307kB,8,2
2026-09-05T12:37:28.381721+00:00,cranky_kowalevski,0.00%,16.02MiB / 3.825GiB,872B / 126B,0B / 0B,8,2
2026-09-05T12:37:28.381721+00:00,gracious_bhaskara,0.00%,38.5MiB / 3.825GiB,1.82kB / 126B,24.2MB / 0B,8,2
2026-09-05T12:37:28.381721+00:00,dnk_frontend,0.00%,131.6MiB / 3.825GiB,2.33kB / 126B,106MB / 0B,8,2
2026-09-05T12:37:28.381721+00:00,dnk_backend,41.29%,312.3MiB / 3.825GiB,3.96MB / 5.16MB,157MB / 242kB,8,2
2026-09-05T12:37:28.381721+00:00,dnk_redis,1.00%,39.71MiB / 3.825GiB,1.14MB / 709kB,31.2MB / 0B,8,2
2026-09-05T12:37:28.381721+00:00,dnk_postgres,0.00%,64.39MiB / 3.825GiB,1.73MB / 1.45MB,40.5MB / 39.7MB,8,2
2026-09-05T12:37:28.381721+00:00,dnk_pgvector,0.00%,45.97MiB / 3.825GiB,2.24kB / 126B,28.2MB / 307kB,8,2
